Country Name;Military expenditure (% of GDP);GDP (current US$);GDP per capita (current US$);GDP growth (annual %)
Afghanistan;1,118230603;18904490263;500,5226641;3,911603419
Albania;1,299676337;15401830754;5396,215864;2,088063376
Algeria;6,021045994;1,71767E+11;4022,150184;1
Angola;1,643740283;69309110146;2142,238757;-0,699999998
Antigua and Barbuda;;1687533333;18319,45605;4,862236166
Argentina;0,706186671;4,47755E+11;9963,672506;-2,000861003
Armenia;4,787705841;13619291361;4828,505178;7,599999999
Australia;1,874025561;1,39223E+12;54941,43418;2,171396224
Austria;0,727513237;4,44621E+11;50070,40335;1,517388583
Azerbaijan;3,873411703;48174235294;4805,753718;2,500000067
Bahamas, The;;13192800000;32610,48505;1,896163703
Bahrain;4,055054417;38653318085;25869,11291;2,166964669
Bangladesh;1,348906693;3,51238E+11;2122,078851;7,881915151
Barbados;;5324250000;19002,96238;-0,131147253
Belarus;1,20086453;64409647194;6837,717826;1,4
Belgium;0,889387187;5,35831E+11;46638,68131;2,24085824
Belize;1,329104658;2416500000;6210,565543;4,502046385
Benin;0,472934841;14391686309;1170,965533;6,865687336
Bermuda;;7423465000;116153,1661;0,306266735
Bhutan;;2535657069;3303,964211;5,755169993
Bolivia;1,451270871;40895322844;3472,380831;2,216705778
Bosnia and Herzegovina;0,8200662;20202479538;6011,370671;2,831001308
Botswana;2,812261003;16695928793;6679,167674;3,032598741
Brazil;1,379456925;1,87327E+12;8845,259118;1,220777824
Brunei Darussalam;3,078642143;13469422959;30748,73749;3,869109865
Bulgaria;3,148475544;68915875215;9879,334343;4,038142206
Burkina Faso;2,606037509;16178162030;772,1668949;5,688115149
Burundi;2,497152014;2576518846;216,9729681;1,812565323
Cabo Verde;0,488213087;1981845741;3434,562745;5,66775246
Cambodia;2,228561325;27089389787;1671,385385;7,054106932
Cameroon;1,086759173;39670977333;1538,687947;3,475059979
Canada;1,286097099;1,74202E+12;46328,67184;1,879592028
Chad;2,187152986;11314951343;701,6212166;3,247181917
Chile;1,856668653;2,78585E+11;14631,94688;0,770539584
China;1,727827863;1,42799E+13;10143,8382;5,950500754
Colombia;3,140733964;3,2311E+11;6438,060183;3,186855392
Comoros;;1195019559;1510,797358;1,760780239
Congo, Dem. Rep.;0,708059013;51775830726;575,8827908;4,384528881
Congo, Rep.;2,748296599;12750339023;2288,808138;-0,086885958
Costa Rica;;64417670083;12669,34107;2,417511818
Cote d'Ivoire;1,227480729;58539424930;2238,811005;6,231709513
Croatia;1,609302367;62327983580;15331,88305;3,42100553
Cuba;;1,03428E+11;9139,415856;-0,164839982
Curacao;;2995185475;19024,17715;-3,371799181
Cyprus;1,858043502;25944504646;29417,13867;5,529428549
Czechia;1,152521403;2,52548E+11;23664,84786;3,029878663
Denmark;1,310977186;3,46499E+11;59592,98069;1,493486959
Djibouti;;3088853639;2876,043664;5,5451306
Dominica;;611537037;8561,587011;5,502483437
Dominican Republic;0,689583104;88941299734;8173,338007;5,05216802
Ecuador;2,183632409;1,08108E+11;6233,258167;0,012105103
Egypt, Arab Rep.;1,180971797;3,03081E+11;2869,576588;5,557683888
