Country Name;SP.POP.GROW;NE.EXP.GNFS.ZS;NE.IMP.GNFS.ZS;NV.IND.TOTL.ZS
Afghanistan;2,908529093;;;14,05811237
Albania;-0,426007367;31,30427013;44,97492449;20,61962882
Algeria;1,839444886;22,71346191;29,09410822;36,84621545
Angola;3,395277792;40,79075505;17,03878307;49,76092074
Antigua and Barbuda;0,534443401;70,88471449;68,52545025;21,16303875
Argentina;0,993397493;17,92487838;14,70573667;23,15784774
Armenia;-0,564065543;41,35080136;54,76335277;24,97160846
Australia;1,485208447;24,15153911;21,67518659;25,31674246
Austria;0,444673639;55,75720636;52,12879115;25,18385977
Azerbaijan;0,846646726;49,0506275;36,76751791;48,82363284
Bahamas, The;0,657441085;35,6884058;36,23188406;12,07780001
Bahrain;0,459362585;76,48596076;65,21487421;42,08032951
Bangladesh;1,11317249;13,094756;18,48329528;32,85254586
Barbados;0,175755759;36,48213363;37,97060619;11,95943091
Belarus;-0,201786601;65,09458399;65,75582211;31,73712872
Belgium;0,540461327;82,40255304;81,77436305;19,25763353
Belize;1,823016119;51,25181047;49,67928823;14,24532382
Benin;2,887074085;29,63052719;34,05080512;16,3125612
Bermuda;-0,010952131;51,7434244;25,81667725;6,370650363
Bhutan;0,701252584;33,93906381;48,18954167;36,05893013
Bolivia;1,457504391;24,96726229;31,43004445;25,21027455
Bosnia and Herzegovina;-1,166081335;40,59494468;55,2309836;23,96425383
Botswana;1,950856348;37,15429887;46,08762958;31,82511827
Brazil;0,766107802;14,12291919;14,76733868;18,75462758
Brunei Darussalam;0,865282212;57,94604054;50,56361782;62,5153211
Bulgaria;-0,703905641;63,93391746;60,70568238;21,6850864
Burkina Faso;2,703875567;27,61611212;31,04805512;27,1474945
Burundi;3,26424857;5,17204;23,85417;10,93598
Cabo Verde;1,01513458;50,64929202;65,25786357;19,60576415
Cambodia;1,132442162;61,09129652;62,46522725;34,22605072
Cameroon;2,774879781;19,85009075;23,5284225;23,82687805
Canada;1,436136823;31,90853262;33,50382946;
Chad;3,294582728;36,74225344;37,82827212;14,27005097
Chile;1,791391972;27,83413159;29,69384226;27,19591379
China;0,35474089;18,40999232;17,48010372;38,58740546
Colombia;1,830746942;15,86803865;21,69049533;25,99370984
Comoros;1,872447912;12,77346063;29,4946179;8,531000615
Congo, Dem. Rep.;3,186288389;25,8676651;29,36749294;39,65191584
Congo, Rep.;2,355238072;73,79228775;53,16332288;48,16991927
Costa Rica;0,865128347;34,32532156;31,43520846;19,23365693
Cote d'Ivoire;2,531287446;23,77627756;22,62463689;21,18727272
Croatia;-0,554146739;50,59453845;51,00596992;19,93040095
Cuba;-0,101983052;12,21332715;10,60737905;24,54944502
Curacao;-1,196439518;;;16,78119933
Cyprus;0,81751772;76,49313137;75,46205323;12,95383899
Czechia;0,393788864;73,87978033;67,89124334;31,53023622
Denmark;0,358130916;58,64718222;51,57764639;20,70893809
Djibouti;1,576239752;166,7177464;154,2212566;14,61028949
Dominica;0,850614263;;;15,08039851
Dominican Republic;1,074974829;23,06928204;27,94186288;29,07733665
Ecuador;1,909683263;23,0483673;23,02845389;32,70232088
Egypt, Arab Rep.;1,794002125;17,50061066;25,73983954;35,62344648
